"Event","City","State","Country","Full_Location","Count","Percentage"
"","","","USA",", , USA",4,100
"2022 Soil Health Conference","LaBolt","SD","USA","LaBolt, SD, USA",26,10.36
"2022 Soil Health Conference","Clear Lake","SD","USA","Clear Lake, SD, USA",12,4.78
"2022 Soil Health Conference","","","USA",", , USA",11,4.38
"2022 Soil Health Conference","Aberdeen","SD","USA","Aberdeen, SD, USA",11,4.38
"2022 Soil Health Conference","Brookings","SD","USA","Brookings, SD, USA",8,3.19
"2022 Soil Health Conference","Sioux Falls","SD","USA","Sioux Falls, SD, USA",8,3.19
"2022 Soil Health Conference","","NE","USA",", NE, USA",6,2.39
"2022 Soil Health Conference","Omaha","NE","USA","Omaha, NE, USA",6,2.39
"2022 Soil Health Conference","Faulkton","SD","USA","Faulkton, SD, USA",5,1.99
"2022 Soil Health Conference","Gettysburg","SD","USA","Gettysburg, SD, USA",5,1.99
"2022 Soil Health Conference","Minneapolis","MN","USA","Minneapolis, MN, USA",5,1.99
"2022 Soil Health Conference","","MO","USA",", MO, USA",4,1.59
"2022 Soil Health Conference","Bismarck","ND","USA","Bismarck, ND, USA",4,1.59
"2022 Soil Health Conference","Groton","SD","USA","Groton, SD, USA",4,1.59
"2022 Soil Health Conference","Parkston","SD","USA","Parkston, SD, USA",4,1.59
"2022 Soil Health Conference","Pierre","SD","USA","Pierre, SD, USA",4,1.59
"2022 Soil Health Conference","Redfield","SD","USA","Redfield, SD, USA",4,1.59
"2022 Soil Health Conference","Watertown","SD","USA","Watertown, SD, USA",4,1.59
"2022 Soil Health Conference","","IL","USA",", IL, USA",3,1.2
"2022 Soil Health Conference","Castlewood","SD","USA","Castlewood, SD, USA",3,1.2
"2022 Soil Health Conference","Chicago","IL","USA","Chicago, IL, USA",3,1.2
"2022 Soil Health Conference","Denver","CO","USA","Denver, CO, USA",3,1.2
"2022 Soil Health Conference","Huron","SD","USA","Huron, SD, USA",3,1.2
"2022 Soil Health Conference","Leola","SD","USA","Leola, SD, USA",3,1.2
"2022 Soil Health Conference","Mitchell","SD","USA","Mitchell, SD, USA",3,1.2
"2022 Soil Health Conference","Rapid City","SD","USA","Rapid City, SD, USA",3,1.2
"2022 Soil Health Conference","Saint Paul","MN","USA","Saint Paul, MN, USA",3,1.2
"2022 Soil Health Conference","Sisseton","SD","USA","Sisseton, SD, USA",3,1.2
"2022 Soil Health Conference","Benson","MN","USA","Benson, MN, USA",2,0.8
"2022 Soil Health Conference","Bradley","SD","USA","Bradley, SD, USA",2,0.8
"2022 Soil Health Conference","Clark","SD","USA","Clark, SD, USA",2,0.8
"2022 Soil Health Conference","Des Moines","IA","USA","Des Moines, IA, USA",2,0.8
"2022 Soil Health Conference","Doland","SD","USA","Doland, SD, USA",2,0.8
"2022 Soil Health Conference","Hartford","SD","USA","Hartford, SD, USA",2,0.8
"2022 Soil Health Conference","Hot Springs","SD","USA","Hot Springs, SD, USA",2,0.8
"2022 Soil Health Conference","Hoven","SD","USA","Hoven, SD, USA",2,0.8
"2022 Soil Health Conference","Lemmon","SD","USA","Lemmon, SD, USA",2,0.8
"2022 Soil Health Conference","Madison","MN","USA","Madison, MN, USA",2,0.8
