"City","State","Country","Full_Location","Count","Percentage"
"","","USA",", , USA",146,11.17
"Brookings","SD","USA","Brookings, SD, USA",79,6.04
"Wentworth","SD","USA","Wentworth, SD, USA",59,4.51
"","MO","USA",", MO, USA",46,3.52
"LaBolt","SD","USA","LaBolt, SD, USA",44,3.37
"Webster","SD","USA","Webster, SD, USA",41,3.14
"Clear Lake","SD","USA","Clear Lake, SD, USA",38,2.91
"Omaha","NE","USA","Omaha, NE, USA",38,2.91
"Sioux Falls","SD","USA","Sioux Falls, SD, USA",37,2.83
"Saint Paul","MN","USA","Saint Paul, MN, USA",32,2.45
"Oacoma","SD","USA","Oacoma, SD, USA",29,2.22
"St Louis","MO","USA","St Louis, MO, USA",29,2.22
"Revillo","SD","USA","Revillo, SD, USA",28,2.14
"Salem","SD","USA","Salem, SD, USA",24,1.84
"Watertown","SD","USA","Watertown, SD, USA",24,1.84
"Rapid City","SD","USA","Rapid City, SD, USA",21,1.61
"Denver","CO","USA","Denver, CO, USA",14,1.07
"Gettysburg","SD","USA","Gettysburg, SD, USA",14,1.07
"Pierre","SD","USA","Pierre, SD, USA",14,1.07
"Aberdeen","SD","USA","Aberdeen, SD, USA",13,0.99
"Chicago","IL","USA","Chicago, IL, USA",13,0.99
"","NE","USA",", NE, USA",12,0.92
"Gary","SD","USA","Gary, SD, USA",11,0.84
"Portland","OR","USA","Portland, OR, USA",11,0.84
"Sisseton","SD","USA","Sisseton, SD, USA",11,0.84
"Groton","SD","USA","Groton, SD, USA",10,0.77
"Parkston","SD","USA","Parkston, SD, USA",10,0.77
"Platte","SD","USA","Platte, SD, USA",9,0.69
"Minneapolis","MN","USA","Minneapolis, MN, USA",8,0.61
"Redfield","SD","USA","Redfield, SD, USA",8,0.61
"Aurora","SD","USA","Aurora, SD, USA",7,0.54
"Bismarck","ND","USA","Bismarck, ND, USA",7,0.54
"Hot Springs","SD","USA","Hot Springs, SD, USA",7,0.54
"Spearfish","SD","USA","Spearfish, SD, USA",7,0.54
"","IL","USA",", IL, USA",6,0.46
"","ND","USA",", ND, USA",6,0.46
"Castlewood","SD","USA","Castlewood, SD, USA",6,0.46
"Garretson","SD","USA","Garretson, SD, USA",6,0.46
"Huron","SD","USA","Huron, SD, USA",6,0.46
"Kansas City","MO","USA","Kansas City, MO, USA",6,0.46
"Milbank","SD","USA","Milbank, SD, USA",6,0.46
"Volga","SD","USA","Volga, SD, USA",6,0.46
"Custer","SD","USA","Custer, SD, USA",5,0.38
"De Smet","SD","USA","De Smet, SD, USA",5,0.38
"Fargo","ND","USA","Fargo, ND, USA",5,0.38
"Faulkton","SD","USA","Faulkton, SD, USA",5,0.38
"Howard","SD","USA","Howard, SD, USA",5,0.38
"Lemmon","SD","USA","Lemmon, SD, USA",5,0.38
"Leola","SD","USA","Leola, SD, USA",5,0.38
"Madison","MN","USA","Madison, MN, USA",5,0.38
"Tyler","MN","USA","Tyler, MN, USA",5,0.38
"Arlington","SD","USA","Arlington, SD, USA",4,0.31
"Flandreau","SD","USA","Flandreau, SD, USA",4,0.31
"Lincoln","NE","USA","Lincoln, NE, USA",4,0.31
"Onida","SD","USA","Onida, SD, USA",4,0.31
"Avon","SD","USA","Avon, SD, USA",3,0.23
"Baltic","SD","USA","Baltic, SD, USA",3,0.23
"Benson","MN","USA","Benson, MN, USA",3,0.23
"Clark","SD","USA","Clark, SD, USA",3,0.23
"Des Moines","IA","USA","Des Moines, IA, USA",3,0.23
"Hartford","SD","USA","Hartford, SD, USA",3,0.23
"Highmore","SD","USA","Highmore, SD, USA",3,0.23
"Iroquois","SD","USA","Iroquois, SD, USA",3,0.23
"Luverne","MN","USA","Luverne, MN, USA",3,0.23
"Mitchell","SD","USA","Mitchell, SD, USA",3,0.23
"Osage","IA","USA","Osage, IA, USA",3,0.23
"Prague","10","CZ","Prague, 10, CZ",3,0.23
"Tyndall","SD","USA","Tyndall, SD, USA",3,0.23
