"state","State_Name","Country","Count","Percentage"
"SD","South Dakota","USA",737,56.39
"","","USA",146,11.17
"MO","Missouri","USA",89,6.81
"MN","Minnesota","USA",77,5.89
"NE","Nebraska","USA",63,4.82
"ND","North Dakota","USA",42,3.21
"IA","Iowa","USA",27,2.07
"IL","Illinois","USA",23,1.76
"CO","Colorado","USA",20,1.53
"OR","Oregon","USA",12,0.92
"KS","Kansas","USA",6,0.46
"IN","Indiana","USA",5,0.38
"AR","Arkansas","USA",4,0.31
"MB","Manitoba","Canada",4,0.31
"WY","Wyoming","USA",4,0.31
"10","10","CZ",3,0.23
"PA","Pennsylvania","USA",3,0.23
"WA","Washington","USA",3,0.23
"AB","Alberta","Canada",2,0.15
"CA","California","USA",2,0.15
"FL","Florida","USA",2,0.15
"GA","Georgia","USA",2,0.15
"MS","Mississippi","USA",2,0.15
"MT","Montana","USA",2,0.15
"OH","Ohio","USA",2,0.15
"UT","Utah","USA",2,0.15
"WI","Wisconsin","USA",2,0.15
"","","FJ",1,0.08
"","","MA",1,0.08
"30","30","UA",1,0.08
"BRU","BRU","BE",1,0.08
"DC","District of Columbia","USA",1,0.08
"DE","Delaware","USA",1,0.08
"DL","DL","IN",1,0.08
"HB","HB","HU",1,0.08
"HCW","HCW","HK",1,0.08
"I","I","GR",1,0.08
"ID","Idaho","USA",1,0.08
"LA","Louisiana","USA",1,0.08
"MD","Maryland","USA",1,0.08
"MI","Michigan","USA",1,0.08
"MN","MN","NI",1,0.08
"OK","Oklahoma","USA",1,0.08
"ON","Ontario","Canada",1,0.08
"QC","Quebec","Canada",1,0.08
"SHR","SHR","EG",1,0.08
"TG","TG","IN",1,0.08
"VA","Virginia","USA",1,0.08
